number,id,topic,format,category,image,source,script_seconds
172,observability-cardinality--decisions,Observability Without a Data Flood,Decision Guide,Reliability and Cloud,images/observability-cardinality--decisions.png,svg/observability-cardinality--decisions.svg,41
173,observability-cardinality--incident,Observability Without a Data Flood,Failure and Recovery,Reliability and Cloud,images/observability-cardinality--incident.png,svg/observability-cardinality--incident.svg,40
174,observability-cardinality--metrics,Observability Without a Data Flood,Metrics That Matter,Reliability and Cloud,images/observability-cardinality--metrics.png,svg/observability-cardinality--metrics.svg,41
175,observability-cardinality--lab,Observability Without a Data Flood,Build and Validate,Reliability and Cloud,images/observability-cardinality--lab.png,svg/observability-cardinality--lab.svg,38
176,slo-error-budgets--roadmap,Error Budgets Guide Decisions,Bottleneck Roadmap,Reliability and Cloud,images/slo-error-budgets--roadmap.png,svg/slo-error-budgets--roadmap.svg,39
177,slo-error-budgets--decisions,Error Budgets Guide Decisions,Decision Guide,Reliability and Cloud,images/slo-error-budgets--decisions.png,svg/slo-error-budgets--decisions.svg,44
178,slo-error-budgets--incident,Error Budgets Guide Decisions,Failure and Recovery,Reliability and Cloud,images/slo-error-budgets--incident.png,svg/slo-error-budgets--incident.svg,40
179,slo-error-budgets--metrics,Error Budgets Guide Decisions,Metrics That Matter,Reliability and Cloud,images/slo-error-budgets--metrics.png,svg/slo-error-budgets--metrics.svg,42
180,slo-error-budgets--lab,Error Budgets Guide Decisions,Build and Validate,Reliability and Cloud,images/slo-error-budgets--lab.png,svg/slo-error-budgets--lab.svg,37
181,incident-evidence-first--roadmap,Incidents Need an Evidence Trail,Bottleneck Roadmap,Reliability and Cloud,images/incident-evidence-first--roadmap.png,svg/incident-evidence-first--roadmap.svg,35
182,incident-evidence-first--decisions,Incidents Need an Evidence Trail,Decision Guide,Reliability and Cloud,images/incident-evidence-first--decisions.png,svg/incident-evidence-first--decisions.svg,42
183,incident-evidence-first--incident,Incidents Need an Evidence Trail,Failure and Recovery,Reliability and Cloud,images/incident-evidence-first--incident.png,svg/incident-evidence-first--incident.svg,39
184,incident-evidence-first--metrics,Incidents Need an Evidence Trail,Metrics That Matter,Reliability and Cloud,images/incident-evidence-first--metrics.png,svg/incident-evidence-first--metrics.svg,40
185,incident-evidence-first--lab,Incidents Need an Evidence Trail,Build and Validate,Reliability and Cloud,images/incident-evidence-first--lab.png,svg/incident-evidence-first--lab.svg,35
186,multi-region-recovery--roadmap,Multi-Region Is a Data Decision,Bottleneck Roadmap,Reliability and Cloud,images/multi-region-recovery--roadmap.png,svg/multi-region-recovery--roadmap.svg,37
187,multi-region-recovery--decisions,Multi-Region Is a Data Decision,Decision Guide,Reliability and Cloud,images/multi-region-recovery--decisions.png,svg/multi-region-recovery--decisions.svg,45
188,multi-region-recovery--incident,Multi-Region Is a Data Decision,Failure and Recovery,Reliability and Cloud,images/multi-region-recovery--incident.png,svg/multi-region-recovery--incident.svg,42
189,multi-region-recovery--metrics,Multi-Region Is a Data Decision,Metrics That Matter,Reliability and Cloud,images/multi-region-recovery--metrics.png,svg/multi-region-recovery--metrics.svg,40
190,multi-region-recovery--lab,Multi-Region Is a Data Decision,Build and Validate,Reliability and Cloud,images/multi-region-recovery--lab.png,svg/multi-region-recovery--lab.svg,39
191,container-resource-limits--roadmap,Container Limits Change Behavior,Bottleneck Roadmap,Reliability and Cloud,images/container-resource-limits--roadmap.png,svg/container-resource-limits--roadmap.svg,38
192,container-resource-limits--decisions,Container Limits Change Behavior,Decision Guide,Reliability and Cloud,images/container-resource-limits--decisions.png,svg/container-resource-limits--decisions.svg,45
193,container-resource-limits--incident,Container Limits Change Behavior,Failure and Recovery,Reliability and Cloud,images/container-resource-limits--incident.png,svg/container-resource-limits--incident.svg,38
194,container-resource-limits--metrics,Container Limits Change Behavior,Metrics That Matter,Reliability and Cloud,images/container-resource-limits--metrics.png,svg/container-resource-limits--metrics.svg,41
195,container-resource-limits--lab,Container Limits Change Behavior,Build and Validate,Reliability and Cloud,images/container-resource-limits--lab.png,svg/container-resource-limits--lab.svg,39
196,cloud-unit-economics--roadmap,Cloud Cost per Useful Outcome,Bottleneck Roadmap,Reliability and Cloud,images/cloud-unit-economics--roadmap.png,svg/cloud-unit-economics--roadmap.svg,40
197,cloud-unit-economics--decisions,Cloud Cost per Useful Outcome,Decision Guide,Reliability and Cloud,images/cloud-unit-economics--decisions.png,svg/cloud-unit-economics--decisions.svg,44
198,cloud-unit-economics--incident,Cloud Cost per Useful Outcome,Failure and Recovery,Reliability and Cloud,images/cloud-unit-economics--incident.png,svg/cloud-unit-economics--incident.svg,38
199,cloud-unit-economics--metrics,Cloud Cost per Useful Outcome,Metrics That Matter,Reliability and Cloud,images/cloud-unit-economics--metrics.png,svg/cloud-unit-economics--metrics.svg,40
200,cloud-unit-economics--lab,Cloud Cost per Useful Outcome,Build and Validate,Reliability and Cloud,images/cloud-unit-economics--lab.png,svg/cloud-unit-economics--lab.svg,38
201,oidc-login-boundaries--roadmap,Login Is More Than a Token,Bottleneck Roadmap,Security AI and Web,images/oidc-login-boundaries--roadmap.png,svg/oidc-login-boundaries--roadmap.svg,44
202,oidc-login-boundaries--decisions,Login Is More Than a Token,Decision Guide,Security AI and Web,images/oidc-login-boundaries--decisions.png,svg/oidc-login-boundaries--decisions.svg,47
203,oidc-login-boundaries--incident,Login Is More Than a Token,Failure and Recovery,Security AI and Web,images/oidc-login-boundaries--incident.png,svg/oidc-login-boundaries--incident.svg,40
204,oidc-login-boundaries--metrics,Login Is More Than a Token,Metrics That Matter,Security AI and Web,images/oidc-login-boundaries--metrics.png,svg/oidc-login-boundaries--metrics.svg,40
205,oidc-login-boundaries--lab,Login Is More Than a Token,Build and Validate,Security AI and Web,images/oidc-login-boundaries--lab.png,svg/oidc-login-boundaries--lab.svg,40
206,jwt-validation-contract--roadmap,JWT Validation Is a Contract,Bottleneck Roadmap,Security AI and Web,images/jwt-validation-contract--roadmap.png,svg/jwt-validation-contract--roadmap.svg,46
207,jwt-validation-contract--decisions,JWT Validation Is a Contract,Decision Guide,Security AI and Web,images/jwt-validation-contract--decisions.png,svg/jwt-validation-contract--decisions.svg,47
208,jwt-validation-contract--incident,JWT Validation Is a Contract,Failure and Recovery,Security AI and Web,images/jwt-validation-contract--incident.png,svg/jwt-validation-contract--incident.svg,42
209,jwt-validation-contract--metrics,JWT Validation Is a Contract,Metrics That Matter,Security AI and Web,images/jwt-validation-contract--metrics.png,svg/jwt-validation-contract--metrics.svg,43
210,jwt-validation-contract--lab,JWT Validation Is a Contract,Build and Validate,Security AI and Web,images/jwt-validation-contract--lab.png,svg/jwt-validation-contract--lab.svg,41
211,tenant-resource-authorization--roadmap,"Authorize the Object, Not the URL",Bottleneck Roadmap,Security AI and Web,images/tenant-resource-authorization--roadmap.png,svg/tenant-resource-authorization--roadmap.svg,41
212,tenant-resource-authorization--decisions,"Authorize the Object, Not the URL",Decision Guide,Security AI and Web,images/tenant-resource-authorization--decisions.png,svg/tenant-resource-authorization--decisions.svg,42
213,tenant-resource-authorization--incident,"Authorize the Object, Not the URL",Failure and Recovery,Security AI and Web,images/tenant-resource-authorization--incident.png,svg/tenant-resource-authorization--incident.svg,37
214,tenant-resource-authorization--metrics,"Authorize the Object, Not the URL",Metrics That Matter,Security AI and Web,images/tenant-resource-authorization--metrics.png,svg/tenant-resource-authorization--metrics.svg,37
215,tenant-resource-authorization--lab,"Authorize the Object, Not the URL",Build and Validate,Security AI and Web,images/tenant-resource-authorization--lab.png,svg/tenant-resource-authorization--lab.svg,35
216,secret-rotation-workflow--roadmap,Rotate Secrets Without Guessing,Bottleneck Roadmap,Security AI and Web,images/secret-rotation-workflow--roadmap.png,svg/secret-rotation-workflow--roadmap.svg,43
217,secret-rotation-workflow--decisions,Rotate Secrets Without Guessing,Decision Guide,Security AI and Web,images/secret-rotation-workflow--decisions.png,svg/secret-rotation-workflow--decisions.svg,47
218,secret-rotation-workflow--incident,Rotate Secrets Without Guessing,Failure and Recovery,Security AI and Web,images/secret-rotation-workflow--incident.png,svg/secret-rotation-workflow--incident.svg,42
219,secret-rotation-workflow--metrics,Rotate Secrets Without Guessing,Metrics That Matter,Security AI and Web,images/secret-rotation-workflow--metrics.png,svg/secret-rotation-workflow--metrics.svg,41
220,secret-rotation-workflow--lab,Rotate Secrets Without Guessing,Build and Validate,Security AI and Web,images/secret-rotation-workflow--lab.png,svg/secret-rotation-workflow--lab.svg,40
221,cors-csrf-boundaries--roadmap,CORS Is Not Authorization,Bottleneck Roadmap,Security AI and Web,images/cors-csrf-boundaries--roadmap.png,svg/cors-csrf-boundaries--roadmap.svg,41
222,cors-csrf-boundaries--decisions,CORS Is Not Authorization,Decision Guide,Security AI and Web,images/cors-csrf-boundaries--decisions.png,svg/cors-csrf-boundaries--decisions.svg,41
223,cors-csrf-boundaries--incident,CORS Is Not Authorization,Failure and Recovery,Security AI and Web,images/cors-csrf-boundaries--incident.png,svg/cors-csrf-boundaries--incident.svg,39
224,cors-csrf-boundaries--metrics,CORS Is Not Authorization,Metrics That Matter,Security AI and Web,images/cors-csrf-boundaries--metrics.png,svg/cors-csrf-boundaries--metrics.svg,41
225,cors-csrf-boundaries--lab,CORS Is Not Authorization,Build and Validate,Security AI and Web,images/cors-csrf-boundaries--lab.png,svg/cors-csrf-boundaries--lab.svg,38
226,web-performance-critical-path--roadmap,Optimize the User's Critical Path,Bottleneck Roadmap,Security AI and Web,images/web-performance-critical-path--roadmap.png,svg/web-performance-critical-path--roadmap.svg,41
227,web-performance-critical-path--decisions,Optimize the User's Critical Path,Decision Guide,Security AI and Web,images/web-performance-critical-path--decisions.png,svg/web-performance-critical-path--decisions.svg,46
228,web-performance-critical-path--incident,Optimize the User's Critical Path,Failure and Recovery,Security AI and Web,images/web-performance-critical-path--incident.png,svg/web-performance-critical-path--incident.svg,36
229,web-performance-critical-path--metrics,Optimize the User's Critical Path,Metrics That Matter,Security AI and Web,images/web-performance-critical-path--metrics.png,svg/web-performance-critical-path--metrics.svg,43
230,web-performance-critical-path--lab,Optimize the User's Critical Path,Build and Validate,Security AI and Web,images/web-performance-critical-path--lab.png,svg/web-performance-critical-path--lab.svg,40
231,rag-retrieval-evaluation--roadmap,RAG Starts With Retrieval Evidence,Bottleneck Roadmap,Security AI and Web,images/rag-retrieval-evaluation--roadmap.png,svg/rag-retrieval-evaluation--roadmap.svg,37
232,rag-retrieval-evaluation--decisions,RAG Starts With Retrieval Evidence,Decision Guide,Security AI and Web,images/rag-retrieval-evaluation--decisions.png,svg/rag-retrieval-evaluation--decisions.svg,44
233,rag-retrieval-evaluation--incident,RAG Starts With Retrieval Evidence,Failure and Recovery,Security AI and Web,images/rag-retrieval-evaluation--incident.png,svg/rag-retrieval-evaluation--incident.svg,39
234,rag-retrieval-evaluation--metrics,RAG Starts With Retrieval Evidence,Metrics That Matter,Security AI and Web,images/rag-retrieval-evaluation--metrics.png,svg/rag-retrieval-evaluation--metrics.svg,41
235,rag-retrieval-evaluation--lab,RAG Starts With Retrieval Evidence,Build and Validate,Security AI and Web,images/rag-retrieval-evaluation--lab.png,svg/rag-retrieval-evaluation--lab.svg,35
236,rag-permission-boundaries--roadmap,RAG Must Respect Current Access,Bottleneck Roadmap,Security AI and Web,images/rag-permission-boundaries--roadmap.png,svg/rag-permission-boundaries--roadmap.svg,42
237,rag-permission-boundaries--decisions,RAG Must Respect Current Access,Decision Guide,Security AI and Web,images/rag-permission-boundaries--decisions.png,svg/rag-permission-boundaries--decisions.svg,45
238,rag-permission-boundaries--incident,RAG Must Respect Current Access,Failure and Recovery,Security AI and Web,images/rag-permission-boundaries--incident.png,svg/rag-permission-boundaries--incident.svg,40
239,rag-permission-boundaries--metrics,RAG Must Respect Current Access,Metrics That Matter,Security AI and Web,images/rag-permission-boundaries--metrics.png,svg/rag-permission-boundaries--metrics.svg,43
240,rag-permission-boundaries--lab,RAG Must Respect Current Access,Build and Validate,Security AI and Web,images/rag-permission-boundaries--lab.png,svg/rag-permission-boundaries--lab.svg,38
241,llm-cost-latency-budget--roadmap,LLM Calls Need a Budget,Bottleneck Roadmap,Security AI and Web,images/llm-cost-latency-budget--roadmap.png,svg/llm-cost-latency-budget--roadmap.svg,42
242,llm-cost-latency-budget--decisions,LLM Calls Need a Budget,Decision Guide,Security AI and Web,images/llm-cost-latency-budget--decisions.png,svg/llm-cost-latency-budget--decisions.svg,43
243,llm-cost-latency-budget--incident,LLM Calls Need a Budget,Failure and Recovery,Security AI and Web,images/llm-cost-latency-budget--incident.png,svg/llm-cost-latency-budget--incident.svg,40
244,llm-cost-latency-budget--metrics,LLM Calls Need a Budget,Metrics That Matter,Security AI and Web,images/llm-cost-latency-budget--metrics.png,svg/llm-cost-latency-budget--metrics.svg,42
245,llm-cost-latency-budget--lab,LLM Calls Need a Budget,Build and Validate,Security AI and Web,images/llm-cost-latency-budget--lab.png,svg/llm-cost-latency-budget--lab.svg,40
246,ml-drift-and-quality--roadmap,Data Drift Is Not Model Accuracy,Bottleneck Roadmap,Security AI and Web,images/ml-drift-and-quality--roadmap.png,svg/ml-drift-and-quality--roadmap.svg,42
247,ml-drift-and-quality--decisions,Data Drift Is Not Model Accuracy,Decision Guide,Security AI and Web,images/ml-drift-and-quality--decisions.png,svg/ml-drift-and-quality--decisions.svg,43
248,ml-drift-and-quality--incident,Data Drift Is Not Model Accuracy,Failure and Recovery,Security AI and Web,images/ml-drift-and-quality--incident.png,svg/ml-drift-and-quality--incident.svg,41
249,ml-drift-and-quality--metrics,Data Drift Is Not Model Accuracy,Metrics That Matter,Security AI and Web,images/ml-drift-and-quality--metrics.png,svg/ml-drift-and-quality--metrics.svg,45
250,ml-drift-and-quality--lab,Data Drift Is Not Model Accuracy,Build and Validate,Security AI and Web,images/ml-drift-and-quality--lab.png,svg/ml-drift-and-quality--lab.svg,40
251,study-microsoft-90-day-plan--roadmap,Prepare for Microsoft in 90 Days,Learning Roadmap,Career Roadmaps,images/study-microsoft-90-day-plan--roadmap.png,svg/study-microsoft-90-day-plan--roadmap.svg,50
252,study-microsoft-90-day-plan--decisions,Prepare for Microsoft in 90 Days,Practice Decisions,Career Roadmaps,images/study-microsoft-90-day-plan--decisions.png,svg/study-microsoft-90-day-plan--decisions.svg,55
253,study-microsoft-90-day-plan--incident,Prepare for Microsoft in 90 Days,Pitfalls and Checks,Career Roadmaps,images/study-microsoft-90-day-plan--incident.png,svg/study-microsoft-90-day-plan--incident.svg,45
254,study-microsoft-90-day-plan--metrics,Prepare for Microsoft in 90 Days,Readiness Signals,Career Roadmaps,images/study-microsoft-90-day-plan--metrics.png,svg/study-microsoft-90-day-plan--metrics.svg,46
255,study-microsoft-90-day-plan--lab,Prepare for Microsoft in 90 Days,Build and Validate,Career Roadmaps,images/study-microsoft-90-day-plan--lab.png,svg/study-microsoft-90-day-plan--lab.svg,54
256,study-complete-swe-study-plan--roadmap,A Complete 12-Week SWE Study Plan,Learning Roadmap,Career Roadmaps,images/study-complete-swe-study-plan--roadmap.png,svg/study-complete-swe-study-plan--roadmap.svg,51
257,study-complete-swe-study-plan--decisions,A Complete 12-Week SWE Study Plan,Practice Decisions,Career Roadmaps,images/study-complete-swe-study-plan--decisions.png,svg/study-complete-swe-study-plan--decisions.svg,45
258,study-complete-swe-study-plan--incident,A Complete 12-Week SWE Study Plan,Pitfalls and Checks,Career Roadmaps,images/study-complete-swe-study-plan--incident.png,svg/study-complete-swe-study-plan--incident.svg,33
259,study-complete-swe-study-plan--metrics,A Complete 12-Week SWE Study Plan,Readiness Signals,Career Roadmaps,images/study-complete-swe-study-plan--metrics.png,svg/study-complete-swe-study-plan--metrics.svg,36
260,study-complete-swe-study-plan--lab,A Complete 12-Week SWE Study Plan,Build and Validate,Career Roadmaps,images/study-complete-swe-study-plan--lab.png,svg/study-complete-swe-study-plan--lab.svg,45
261,study-faang-90-day-preparation--roadmap,FAANG Preparation Without Question Chasing,Learning Roadmap,Career Roadmaps,images/study-faang-90-day-preparation--roadmap.png,svg/study-faang-90-day-preparation--roadmap.svg,46
262,study-faang-90-day-preparation--decisions,FAANG Preparation Without Question Chasing,Practice Decisions,Career Roadmaps,images/study-faang-90-day-preparation--decisions.png,svg/study-faang-90-day-preparation--decisions.svg,45
263,study-faang-90-day-preparation--incident,FAANG Preparation Without Question Chasing,Pitfalls and Checks,Career Roadmaps,images/study-faang-90-day-preparation--incident.png,svg/study-faang-90-day-preparation--incident.svg,33
264,study-faang-90-day-preparation--metrics,FAANG Preparation Without Question Chasing,Readiness Signals,Career Roadmaps,images/study-faang-90-day-preparation--metrics.png,svg/study-faang-90-day-preparation--metrics.svg,34
265,study-faang-90-day-preparation--lab,FAANG Preparation Without Question Chasing,Build and Validate,Career Roadmaps,images/study-faang-90-day-preparation--lab.png,svg/study-faang-90-day-preparation--lab.svg,44
266,study-service-to-product-company--roadmap,Move from Services to a Product Role,Learning Roadmap,Career Roadmaps,images/study-service-to-product-company--roadmap.png,svg/study-service-to-product-company--roadmap.svg,55
267,study-service-to-product-company--decisions,Move from Services to a Product Role,Practice Decisions,Career Roadmaps,images/study-service-to-product-company--decisions.png,svg/study-service-to-product-company--decisions.svg,51
268,study-service-to-product-company--incident,Move from Services to a Product Role,Pitfalls and Checks,Career Roadmaps,images/study-service-to-product-company--incident.png,svg/study-service-to-product-company--incident.svg,38
269,study-service-to-product-company--metrics,Move from Services to a Product Role,Readiness Signals,Career Roadmaps,images/study-service-to-product-company--metrics.png,svg/study-service-to-product-company--metrics.svg,38
270,study-service-to-product-company--lab,Move from Services to a Product Role,Build and Validate,Career Roadmaps,images/study-service-to-product-company--lab.png,svg/study-service-to-product-company--lab.svg,55
271,study-non-cs-to-software--roadmap,A Non-CS Graduate's Software Roadmap,Learning Roadmap,Career Roadmaps,images/study-non-cs-to-software--roadmap.png,svg/study-non-cs-to-software--roadmap.svg,57
272,study-non-cs-to-software--decisions,A Non-CS Graduate's Software Roadmap,Practice Decisions,Career Roadmaps,images/study-non-cs-to-software--decisions.png,svg/study-non-cs-to-software--decisions.svg,51
273,study-non-cs-to-software--incident,A Non-CS Graduate's Software Roadmap,Pitfalls and Checks,Career Roadmaps,images/study-non-cs-to-software--incident.png,svg/study-non-cs-to-software--incident.svg,39
274,study-non-cs-to-software--metrics,A Non-CS Graduate's Software Roadmap,Readiness Signals,Career Roadmaps,images/study-non-cs-to-software--metrics.png,svg/study-non-cs-to-software--metrics.svg,39
275,study-non-cs-to-software--lab,A Non-CS Graduate's Software Roadmap,Build and Validate,Career Roadmaps,images/study-non-cs-to-software--lab.png,svg/study-non-cs-to-software--lab.svg,44
276,study-resume-github-portfolio--roadmap,Build a Resume and GitHub Portfolio,Learning Roadmap,Career Roadmaps,images/study-resume-github-portfolio--roadmap.png,svg/study-resume-github-portfolio--roadmap.svg,53
277,study-resume-github-portfolio--decisions,Build a Resume and GitHub Portfolio,Practice Decisions,Career Roadmaps,images/study-resume-github-portfolio--decisions.png,svg/study-resume-github-portfolio--decisions.svg,50
278,study-resume-github-portfolio--incident,Build a Resume and GitHub Portfolio,Pitfalls and Checks,Career Roadmaps,images/study-resume-github-portfolio--incident.png,svg/study-resume-github-portfolio--incident.svg,41
279,study-resume-github-portfolio--metrics,Build a Resume and GitHub Portfolio,Readiness Signals,Career Roadmaps,images/study-resume-github-portfolio--metrics.png,svg/study-resume-github-portfolio--metrics.svg,43
280,study-resume-github-portfolio--lab,Build a Resume and GitHub Portfolio,Build and Validate,Career Roadmaps,images/study-resume-github-portfolio--lab.png,svg/study-resume-github-portfolio--lab.svg,51
281,study-behavioral-project-stories--roadmap,Behavioral Interviews and Project Stories,Learning Roadmap,Career Roadmaps,images/study-behavioral-project-stories--roadmap.png,svg/study-behavioral-project-stories--roadmap.svg,55
282,study-behavioral-project-stories--decisions,Behavioral Interviews and Project Stories,Practice Decisions,Career Roadmaps,images/study-behavioral-project-stories--decisions.png,svg/study-behavioral-project-stories--decisions.svg,45
283,study-behavioral-project-stories--incident,Behavioral Interviews and Project Stories,Pitfalls and Checks,Career Roadmaps,images/study-behavioral-project-stories--incident.png,svg/study-behavioral-project-stories--incident.svg,36
284,study-behavioral-project-stories--metrics,Behavioral Interviews and Project Stories,Readiness Signals,Career Roadmaps,images/study-behavioral-project-stories--metrics.png,svg/study-behavioral-project-stories--metrics.svg,34
285,study-behavioral-project-stories--lab,Behavioral Interviews and Project Stories,Build and Validate,Career Roadmaps,images/study-behavioral-project-stories--lab.png,svg/study-behavioral-project-stories--lab.svg,45
286,study-mock-interview-readiness--roadmap,Run Better Mocks and Measure Readiness,Learning Roadmap,Career Roadmaps,images/study-mock-interview-readiness--roadmap.png,svg/study-mock-interview-readiness--roadmap.svg,62
287,study-mock-interview-readiness--decisions,Run Better Mocks and Measure Readiness,Practice Decisions,Career Roadmaps,images/study-mock-interview-readiness--decisions.png,svg/study-mock-interview-readiness--decisions.svg,43
288,study-mock-interview-readiness--incident,Run Better Mocks and Measure Readiness,Pitfalls and Checks,Career Roadmaps,images/study-mock-interview-readiness--incident.png,svg/study-mock-interview-readiness--incident.svg,35
289,study-mock-interview-readiness--metrics,Run Better Mocks and Measure Readiness,Readiness Signals,Career Roadmaps,images/study-mock-interview-readiness--metrics.png,svg/study-mock-interview-readiness--metrics.svg,35
290,study-mock-interview-readiness--lab,Run Better Mocks and Measure Readiness,Build and Validate,Career Roadmaps,images/study-mock-interview-readiness--lab.png,svg/study-mock-interview-readiness--lab.svg,47
291,study-operating-systems-six-week-plan--roadmap,Get Good at Operating Systems in Six Weeks,Learning Roadmap,Core Computer Science,images/study-operating-systems-six-week-plan--roadmap.png,svg/study-operating-systems-six-week-plan--roadmap.svg,54
292,study-operating-systems-six-week-plan--decisions,Get Good at Operating Systems in Six Weeks,Practice Decisions,Core Computer Science,images/study-operating-systems-six-week-plan--decisions.png,svg/study-operating-systems-six-week-plan--decisions.svg,43
293,study-operating-systems-six-week-plan--incident,Get Good at Operating Systems in Six Weeks,Pitfalls and Checks,Core Computer Science,images/study-operating-systems-six-week-plan--incident.png,svg/study-operating-systems-six-week-plan--incident.svg,36
294,study-operating-systems-six-week-plan--metrics,Get Good at Operating Systems in Six Weeks,Readiness Signals,Core Computer Science,images/study-operating-systems-six-week-plan--metrics.png,svg/study-operating-systems-six-week-plan--metrics.svg,39
295,study-operating-systems-six-week-plan--lab,Get Good at Operating Systems in Six Weeks,Build and Validate,Core Computer Science,images/study-operating-systems-six-week-plan--lab.png,svg/study-operating-systems-six-week-plan--lab.svg,54
296,study-computer-networks-six-week-plan--roadmap,Plan Your Computer Networks Preparation,Learning Roadmap,Core Computer Science,images/study-computer-networks-six-week-plan--roadmap.png,svg/study-computer-networks-six-week-plan--roadmap.svg,57
297,study-computer-networks-six-week-plan--decisions,Plan Your Computer Networks Preparation,Practice Decisions,Core Computer Science,images/study-computer-networks-six-week-plan--decisions.png,svg/study-computer-networks-six-week-plan--decisions.svg,51
298,study-computer-networks-six-week-plan--incident,Plan Your Computer Networks Preparation,Pitfalls and Checks,Core Computer Science,images/study-computer-networks-six-week-plan--incident.png,svg/study-computer-networks-six-week-plan--incident.svg,38
299,study-computer-networks-six-week-plan--metrics,Plan Your Computer Networks Preparation,Readiness Signals,Core Computer Science,images/study-computer-networks-six-week-plan--metrics.png,svg/study-computer-networks-six-week-plan--metrics.svg,37
300,study-computer-networks-six-week-plan--lab,Plan Your Computer Networks Preparation,Build and Validate,Core Computer Science,images/study-computer-networks-six-week-plan--lab.png,svg/study-computer-networks-six-week-plan--lab.svg,57
301,study-linux-cli-debugging--roadmap,Linux CLI and Debugging for Engineers,Learning Roadmap,Core Computer Science,images/study-linux-cli-debugging--roadmap.png,svg/study-linux-cli-debugging--roadmap.svg,53
302,study-linux-cli-debugging--decisions,Linux CLI and Debugging for Engineers,Practice Decisions,Core Computer Science,images/study-linux-cli-debugging--decisions.png,svg/study-linux-cli-debugging--decisions.svg,42
303,study-linux-cli-debugging--incident,Linux CLI and Debugging for Engineers,Pitfalls and Checks,Core Computer Science,images/study-linux-cli-debugging--incident.png,svg/study-linux-cli-debugging--incident.svg,32
304,study-linux-cli-debugging--metrics,Linux CLI and Debugging for Engineers,Readiness Signals,Core Computer Science,images/study-linux-cli-debugging--metrics.png,svg/study-linux-cli-debugging--metrics.svg,32
305,study-linux-cli-debugging--lab,Linux CLI and Debugging for Engineers,Build and Validate,Core Computer Science,images/study-linux-cli-debugging--lab.png,svg/study-linux-cli-debugging--lab.svg,47
306,study-c-cpp-memory-safety--roadmap,C and C++ Memory Safety Foundations,Learning Roadmap,Core Computer Science,images/study-c-cpp-memory-safety--roadmap.png,svg/study-c-cpp-memory-safety--roadmap.svg,60
307,study-c-cpp-memory-safety--decisions,C and C++ Memory Safety Foundations,Practice Decisions,Core Computer Science,images/study-c-cpp-memory-safety--decisions.png,svg/study-c-cpp-memory-safety--decisions.svg,44
308,study-c-cpp-memory-safety--incident,C and C++ Memory Safety Foundations,Pitfalls and Checks,Core Computer Science,images/study-c-cpp-memory-safety--incident.png,svg/study-c-cpp-memory-safety--incident.svg,35
309,study-c-cpp-memory-safety--metrics,C and C++ Memory Safety Foundations,Readiness Signals,Core Computer Science,images/study-c-cpp-memory-safety--metrics.png,svg/study-c-cpp-memory-safety--metrics.svg,38
310,study-c-cpp-memory-safety--lab,C and C++ Memory Safety Foundations,Build and Validate,Core Computer Science,images/study-c-cpp-memory-safety--lab.png,svg/study-c-cpp-memory-safety--lab.svg,59
311,study-concurrency-synchronization--roadmap,"Concurrency, Locks, and Safe Shutdown",Learning Roadmap,Core Computer Science,images/study-concurrency-synchronization--roadmap.png,svg/study-concurrency-synchronization--roadmap.svg,47
312,study-concurrency-synchronization--decisions,"Concurrency, Locks, and Safe Shutdown",Practice Decisions,Core Computer Science,images/study-concurrency-synchronization--decisions.png,svg/study-concurrency-synchronization--decisions.svg,46
313,study-concurrency-synchronization--incident,"Concurrency, Locks, and Safe Shutdown",Pitfalls and Checks,Core Computer Science,images/study-concurrency-synchronization--incident.png,svg/study-concurrency-synchronization--incident.svg,33
314,study-concurrency-synchronization--metrics,"Concurrency, Locks, and Safe Shutdown",Readiness Signals,Core Computer Science,images/study-concurrency-synchronization--metrics.png,svg/study-concurrency-synchronization--metrics.svg,36
315,study-concurrency-synchronization--lab,"Concurrency, Locks, and Safe Shutdown",Build and Validate,Core Computer Science,images/study-concurrency-synchronization--lab.png,svg/study-concurrency-synchronization--lab.svg,52
316,study-databases-transactions--roadmap,"Databases, SQL, Indexes, and Transactions",Learning Roadmap,Core Computer Science,images/study-databases-transactions--roadmap.png,svg/study-databases-transactions--roadmap.svg,56
317,study-databases-transactions--decisions,"Databases, SQL, Indexes, and Transactions",Practice Decisions,Core Computer Science,images/study-databases-transactions--decisions.png,svg/study-databases-transactions--decisions.svg,47
318,study-databases-transactions--incident,"Databases, SQL, Indexes, and Transactions",Pitfalls and Checks,Core Computer Science,images/study-databases-transactions--incident.png,svg/study-databases-transactions--incident.svg,34
319,study-databases-transactions--metrics,"Databases, SQL, Indexes, and Transactions",Readiness Signals,Core Computer Science,images/study-databases-transactions--metrics.png,svg/study-databases-transactions--metrics.svg,37
320,study-databases-transactions--lab,"Databases, SQL, Indexes, and Transactions",Build and Validate,Core Computer Science,images/study-databases-transactions--lab.png,svg/study-databases-transactions--lab.svg,55
321,study-http-dns-tls-request-journey--roadmap,"Trace a Request Through DNS, TLS, and HTTP",Learning Roadmap,Core Computer Science,images/study-http-dns-tls-request-journey--roadmap.png,svg/study-http-dns-tls-request-journey--roadmap.svg,58
322,study-http-dns-tls-request-journey--decisions,"Trace a Request Through DNS, TLS, and HTTP",Practice Decisions,Core Computer Science,images/study-http-dns-tls-request-journey--decisions.png,svg/study-http-dns-tls-request-journey--decisions.svg,50
